phrase,code
verify air pressure measurement in the ruuvitag,ruuvitag.readProperty('pressure');
check the air pressure measurement in the ruuvitag,ruuvitag.readProperty('pressure');
air pressure check,ruuvitag.readProperty('pressure');
check air pressure,ruuvitag.readProperty('pressure');
check pressure ruuvitag,ruuvitag.readProperty('pressure');
check the air pressure ruuvitag,ruuvitag.readProperty('pressure');
check the ruuvitag air pressure,ruuvitag.readProperty('pressure');
check air pressure value ruuvitag,ruuvitag.readProperty('pressure');
air pressure,ruuvitag.readProperty('pressure');
the air pressure,ruuvitag.readProperty('pressure');
ruuvitag pressure,ruuvitag.readProperty('pressure');
check the air pressure,ruuvitag.readProperty('pressure');
please show air pressure intensity according to ruuvitag,ruuvitag.readProperty('pressure');
show air pressure on ruuvitag,ruuvitag.readProperty('pressure');
display the air pressure based on ruuvitag,ruuvitag.readProperty('pressure');
show a value of air pressure based on ruuvitag,ruuvitag.readProperty('pressure');
display air pressure values based on ruuvitag,ruuvitag.readProperty('pressure');
show an air pressure value based on the ruuvitag,ruuvitag.readProperty('pressure');
show a pressure value based on ruuvitag,ruuvitag.readProperty('pressure');
display a air pressure value based on the ruuvitag,ruuvitag.readProperty('pressure');
show the air pressure value based on the ruuvitag,ruuvitag.readProperty('pressure');
ruuvitag air pressure measurements,ruuvitag.readProperty('pressure');
see air pressure measurements in the ruuvitag,ruuvitag.readProperty('pressure');
refer to the air pressure measurements in the ruuvitag,ruuvitag.readProperty('pressure');
ruuvitag air pressure measurement,ruuvitag.readProperty('pressure');
read the air pressure measurements in the ruuvitag,ruuvitag.readProperty('pressure');
read air pressure measurements in the ruuvitag,ruuvitag.readProperty('pressure');
read the air pressure measurement in the ruuvitag,ruuvitag.readProperty('pressure');
give me the air pressure in ruuvitag,ruuvitag.readProperty('pressure');
give me an estimate of the pressure in ruuvitag,ruuvitag.readProperty('pressure');
give a measure of air pressure in the ruuvitag,ruuvitag.readProperty('pressure');
give me a measurement of air pressure in ruuvitag,ruuvitag.readProperty('pressure');
tell me what the air pressure of the ruuvitag,ruuvitag.readProperty('pressure');
tell me the pressure of ruuvitag,ruuvitag.readProperty('pressure');
tell me the air pressure of the ruuvitag,ruuvitag.readProperty('pressure');
tell me the air pressure measurement of the ruuvitag,ruuvitag.readProperty('pressure');
can you give me a measurement of the air pressure of ruuvitag?,ruuvitag.readProperty('pressure');
can you tell me the air pressure of ruuvitag?,ruuvitag.readProperty('pressure');
tell me what the air pressure of the ruuvitag is?,ruuvitag.readProperty('pressure');
show me the air pressure of the ruuvitag?,ruuvitag.readProperty('pressure');
tell me the pressure of ruuvitag?,ruuvitag.readProperty('pressure');
i would like to know how much air is in the ruuvitag,ruuvitag.readProperty('pressure');
i'd like to know the pressure of the air in ruuvitag,ruuvitag.readProperty('pressure');
i would like to know the air pressure of ruuvitag,ruuvitag.readProperty('pressure');
i want to know the pressure of the air in ruuvitag,ruuvitag.readProperty('pressure');
i'd like to know the air pressure of the ruuvitag,ruuvitag.readProperty('pressure');
give me the air pressure from ruuvitag,ruuvitag.readProperty('pressure');
give me a reading of the air pressure of the ruuvitag,ruuvitag.readProperty('pressure');
give a reading of the air pressure from ruuvitag,ruuvitag.readProperty('pressure');
give a reading of air pressure from ruuvitag,ruuvitag.readProperty('pressure');
give me a pressure reading from ruuvitag,ruuvitag.readProperty('pressure');
give me a ruuvitag air pressure reading,ruuvitag.readProperty('pressure');
give me the pressure reading from ruuvitag,ruuvitag.readProperty('pressure');
please give me the air pressure reading from ruuvitag,ruuvitag.readProperty('pressure');
can you give me a reading of the air pressure from ruuvitag,ruuvitag.readProperty('pressure');
tell me what the current acceleration is?,ruuvitag.readProperty('acceleration');
show me the acceleration of the current in ruuvitag?,ruuvitag.readProperty('acceleration');
can you tell me the current acceleration measured by ruuvitag?,ruuvitag.readProperty('acceleration');
show me the current acceleration measured by ruuvitag?,ruuvitag.readProperty('acceleration');
list the current acceleration measured by ruuvitag?,ruuvitag.readProperty('acceleration');
can you list the acceleration measured by ruuvitag?,ruuvitag.readProperty('acceleration');
what's the current acceleration measured by ruuvitag?,ruuvitag.readProperty('acceleration');
tell me the current acceleration of the ruuvitag?,ruuvitag.readProperty('acceleration');
tell me the speed of the ruuvitag?,ruuvitag.readProperty('acceleration');
tell me what the acceleration value of ruuvitag is now?,ruuvitag.readProperty('acceleration');
can you tell me the acceleration value of ruuvitag right now?,ruuvitag.readProperty('acceleration');
tell me what the acceleration value is in the ruuvitag right now?,ruuvitag.readProperty('acceleration');
show me the acceleration value in the ruuvitag right now?,ruuvitag.readProperty('acceleration');
can you tell me the acceleration value in ruuvitag right now?,ruuvitag.readProperty('acceleration');
tell me the acceleration value of ruuvitag?,ruuvitag.readProperty('acceleration');
what is the acceleration value in ruuvitag right now?,ruuvitag.readProperty('acceleration');
how do you calculate acceleration?,ruuvitag.readProperty('acceleration');
tell me what the acceleration value is?,ruuvitag.readProperty('acceleration');
can you tell me the acceleration value in ruuvitag?,ruuvitag.readProperty('acceleration');
what is the acceleration value according to ruuvitag?,ruuvitag.readProperty('acceleration');
how is acceleration calculated according to ruuvitag?,ruuvitag.readProperty('acceleration');
show the acceleration values of the ruuvitag?,ruuvitag.readProperty('acceleration');
tell me the acceleration value of the ruuvitag?,ruuvitag.readProperty('acceleration');
what's the acceleration value of the ruuvitag?,ruuvitag.readProperty('acceleration');
what acceleration is ruuvitag showing?,ruuvitag.readProperty('acceleration');
what acceleration value does ruuvitag show?,ruuvitag.readProperty('acceleration');
show me the acceleration of the ruuvitag?,ruuvitag.readProperty('acceleration');
what is the acceleration value of the ruuvitag showing?,ruuvitag.readProperty('acceleration');
check speed of the ruuvitag,ruuvitag.readProperty('acceleration');
check the acceleration in the ruuvitag,ruuvitag.readProperty('acceleration');
check the speed of the ruuvitag,ruuvitag.readProperty('acceleration');
check for the acceleration in the ruuvitag,ruuvitag.readProperty('acceleration');
check that the acceleration is measured in the ruuvitag,ruuvitag.readProperty('acceleration');
see if acceleration is measured in the ruuvitag,ruuvitag.readProperty('acceleration');
verify acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
check acceleration measurement in ruuvitag,ruuvitag.readProperty('acceleration');
check the acceleration measurement in the ruuvitag,ruuvitag.readProperty('acceleration');
check acceleration of the ruuvitag,ruuvitag.readProperty('acceleration');
check for the acceleration of the ruuvitag,ruuvitag.readProperty('acceleration');
check the speed value of ruuvitag,ruuvitag.readProperty('acceleration');
check the acceleration of ruuvitag,ruuvitag.readProperty('acceleration');
check acceleration value of ruuvitag,ruuvitag.readProperty('acceleration');
check speed ruuvitag,ruuvitag.readProperty('acceleration');
check acceleration ruuvitag,ruuvitag.readProperty('acceleration');
check the acceleration value ruuvitag,ruuvitag.readProperty('acceleration');
the acceleration value,ruuvitag.readProperty('acceleration');
ruuvitag acceleration,ruuvitag.readProperty('acceleration');
ruuvitag - acceleration value,ruuvitag.readProperty('acceleration');
check acceleration value,ruuvitag.readProperty('acceleration');
check ruuvitag acceleration,ruuvitag.readProperty('acceleration');
show the intensity of acceleration according to ruuvitag,ruuvitag.readProperty('acceleration');
show me the intensity of acceleration according to ruuvitag,ruuvitag.readProperty('acceleration');
can you show me the intensity of acceleration according to ruuvitag,ruuvitag.readProperty('acceleration');
please show me the intensity of acceleration according to ruuvitag,ruuvitag.readProperty('acceleration');
can you show me the intensity of the acceleration according to ruuvitag,ruuvitag.readProperty('acceleration');
please show the acceleration intensity according to ruuvitag,ruuvitag.readProperty('acceleration');
'' show the acceleration value on ruuvitag,ruuvitag.readProperty('acceleration');
look at acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
take a look at the acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
take an look at acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
have a look at acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
read the acceleration in the ruuvitag,ruuvitag.readProperty('acceleration');
ruuvitag acceleration measurement,ruuvitag.readProperty('acceleration');
see acceleration measurements in the ruuvitag,ruuvitag.readProperty('acceleration');
see the acceleration measurement in the ruuvitag,ruuvitag.readProperty('acceleration');
ruuvitag's acceleration measurement,ruuvitag.readProperty('acceleration');
see acceleration in ruuvitag,ruuvitag.readProperty('acceleration');
read the acceleration measurement in the ruuvitag,ruuvitag.readProperty('acceleration');
tell me the speed of the ruuvitag,ruuvitag.readProperty('acceleration');
tell me about the acceleration of the ruuvitag,ruuvitag.readProperty('acceleration');
tell me about the acceleration of ruuvitag,ruuvitag.readProperty('acceleration');
show me the speed of the ruuvitag,ruuvitag.readProperty('acceleration');
tell me how much acceleration is in the ruuvitag,ruuvitag.readProperty('acceleration');
tell me about the acceleration measurement of ruuvitag,ruuvitag.readProperty('acceleration');
can you tell me the acceleration of ruuvitag?,ruuvitag.readProperty('acceleration');
i'd like to know how ruuvitag is going to accelerate,ruuvitag.readProperty('acceleration');
i'd like to know about the acceleration of ruuvitag,ruuvitag.readProperty('acceleration');
i would like to know the acceleration of ruuvitag,ruuvitag.readProperty('acceleration');
i want to know how fast ruvitag is going,ruuvitag.readProperty('acceleration');
i want to know the speed of the ruuvitag,ruuvitag.readProperty('acceleration');
give me a quick speed reading from ruuvitag,ruuvitag.readProperty('acceleration');
give a speed reading of ruuvitag,ruuvitag.readProperty('acceleration');
give me the speed reading from ruuvitag,ruuvitag.readProperty('acceleration');
give me a speed reading of ruuvitag,ruuvitag.readProperty('acceleration');
give me the speed to read the ruuvitag,ruuvitag.readProperty('acceleration');
give me a quick read of the ruuvitag,ruuvitag.readProperty('acceleration');
give me an acceleration read from ruuvitag,ruuvitag.readProperty('acceleration');
give me the acceleration reading of ruuvitag,ruuvitag.readProperty('acceleration');
give the acceleration reading from ruuvitag,ruuvitag.readProperty('acceleration');
show me the current of the battery measured by ruuvitag?,ruuvitag.readProperty('battery');
can you tell me the current of the battery measured by ruuvitag?,ruuvitag.readProperty('battery');
how much current is in a battery measured with the ruvig?,ruuvitag.readProperty('battery');
tell me the current of battery measured by ruuvitag?,ruuvitag.readProperty('battery');
what is the current of the battery measured by ruuvitag?,ruuvitag.readProperty('battery');
what's a current battery measured by ruuvitag?,ruuvitag.readProperty('battery');
show me the battery value in ruuvitag right now?,ruuvitag.readProperty('battery');
can someone tell me the value of battery in the ruuvitag right now?,ruuvitag.readProperty('battery');
can you show me the value of battery in ruuvitag right now?,ruuvitag.readProperty('battery');
tell me what the battery value of the ruuvitag is now?,ruuvitag.readProperty('battery');
can you tell me the battery value of the ruuvitag right now?,ruuvitag.readProperty('battery');
tell me the value of the battery in the ruuvitag right now?,ruuvitag.readProperty('battery');
show me the battery value of ruuvitag right now?,ruuvitag.readProperty('battery');
what is the battery value in the ruuvitag right now?,ruuvitag.readProperty('battery');
show me the battery value of the ruvivag?,ruuvitag.readProperty('battery');
tell me the battery value in ruuvitag right now?,ruuvitag.readProperty('battery');
what is battery value in ruuvitag right now?,ruuvitag.readProperty('battery');
what's the battery value in ruuvitag right now?,ruuvitag.readProperty('battery');
how do you calculate the battery value?,ruuvitag.readProperty('battery');
tell me the value of the battery in the ruuvitag?,ruuvitag.readProperty('battery');
can you tell me the battery value in ruuvitag?,ruuvitag.readProperty('battery');
tell me the battery value of the ruuvitag?,ruuvitag.readProperty('battery');
can you tell me the battery value on the ruuvitag?,ruuvitag.readProperty('battery');
show me the battery of the ruuvitag?,ruuvitag.readProperty('battery');
can you show me the battery value of the ruuvitag?,ruuvitag.readProperty('battery');
what is the battery value of the ruuvitag?,ruuvitag.readProperty('battery');
what is the battery value?,ruuvitag.readProperty('battery');
show me the battery value of ruuvitag?,ruuvitag.readProperty('battery');
make sure the battery is in ruuvitag,ruuvitag.readProperty('battery');
check battery in ruuvitag,ruuvitag.readProperty('battery');
check the battery in the ruuvitag,ruuvitag.readProperty('battery');
ensure the battery is measured in ruuvitag,ruuvitag.readProperty('battery');
make sure that the battery is measured in ruuvitag,ruuvitag.readProperty('battery');
check batteries in ruuvitag,ruuvitag.readProperty('battery');
check the battery size in the ruuvitag,ruuvitag.readProperty('battery');
check battery measurement in ruuvitag,ruuvitag.readProperty('battery');
check the battery value,ruuvitag.readProperty('battery');
check battery ruuvitag,ruuvitag.readProperty('battery');
battery value,ruuvitag.readProperty('battery');
ruuvitag battery,ruuvitag.readProperty('battery');
check battery voltage,ruuvitag.readProperty('battery');
check battery value,ruuvitag.readProperty('battery');
check ruuvitag battery,ruuvitag.readProperty('battery');
show the battery value on the ruuvitag,ruuvitag.readProperty('battery');
display battery value on ruuvitag,ruuvitag.readProperty('battery');
show a battery value based on ruuvitag,ruuvitag.readProperty('battery');
look at the battery in ruuvitag,ruuvitag.readProperty('battery');
have a look at the batteries on ruuvitag,ruuvitag.readProperty('battery');
take a look at the battery in the ruuvitag,ruuvitag.readProperty('battery');
ruuvitag battery measurements,ruuvitag.readProperty('battery');
see battery measurements in the ruuvitag,ruuvitag.readProperty('battery');
see the battery measurement in the ruuvitag,ruuvitag.readProperty('battery');
see battery measurements in ruuvitag,ruuvitag.readProperty('battery');
give me a measurement of ruuvitag's battery,ruuvitag.readProperty('battery');
give me a measure of the ruuvitag battery,ruuvitag.readProperty('battery');
show how much battery is in the ruuvitag,ruuvitag.readProperty('battery');
can you show me how much battery is in ruuvitag,ruuvitag.readProperty('battery');
please show me how much battery is in ruuvitag,ruuvitag.readProperty('battery');
give me a ruuvitag battery reading,ruuvitag.readProperty('battery');
give a battery reading of ruuvitag,ruuvitag.readProperty('battery');
give me a battery reading of ruuvitag,ruuvitag.readProperty('battery');
give me the battery readout of ruuvitag,ruuvitag.readProperty('battery');
can you list the current txpower measured by ruuvitag?,ruuvitag.readProperty('txpower');
show me the current power measured by ruuvitag?,ruuvitag.readProperty('txpower');
can you tell me the current txpower measured by ruuvitag?,ruuvitag.readProperty('txpower');
show the txpowers of currents measured by ruuvitag?,ruuvitag.readProperty('txpower');
what is current power measured by ruuvitag?,ruuvitag.readProperty('txpower');
tell me the current txpower of the ruuvitag?,ruuvitag.readProperty('txpower');
show me the current txpower measured by ruuvitag?,ruuvitag.readProperty('txpower');
show me the power of the ruuvitag?,ruuvitag.readProperty('txpower');
show me the power of ruuvitag?,ruuvitag.readProperty('txpower');
tell me about the power of ruuvitag right now?,ruuvitag.readProperty('txpower');
can you tell me the power of ruuvitag right now?,ruuvitag.readProperty('txpower');
how do you use txpower in ruuvitag?,ruuvitag.readProperty('txpower');
how does txpower work with ruuvitag?,ruuvitag.readProperty('txpower');
how is txpower calculated?,ruuvitag.readProperty('txpower');
how does the txpower calculation work according to ruuvitag?,ruuvitag.readProperty('txpower');
how is txpower calculated in ruuvitag?,ruuvitag.readProperty('txpower');
how does txpower work according to ruuvitag?,ruuvitag.readProperty('txpower');
can you tell me the power of txpower?,ruuvitag.readProperty('txpower');
can you show me the power of txpower?,ruuvitag.readProperty('txpower');
show the values of txpower in the ruuvitag?,ruuvitag.readProperty('txpower');
what are txpower values in ruuvitag?,ruuvitag.readProperty('txpower');
list some of the txpower values in the ruuvitag?,ruuvitag.readProperty('txpower');
tell me the power of the ruuvitag?,ruuvitag.readProperty('txpower');
show the txpower values of the ruuvitag?,ruuvitag.readProperty('txpower');
tell me the txpower value of the ruuvitag?,ruuvitag.readProperty('txpower');
what's the txpower value of the ruuvitag?,ruuvitag.readProperty('txpower');
show me the txpower of the ruuvitag?,ruuvitag.readProperty('txpower');
what is the txpower value of the ruuvitag showing?,ruuvitag.readProperty('txpower');
check your battery in the ruuvitag,ruuvitag.readProperty('txpower');
check the power in ruuvitag,ruuvitag.readProperty('txpower');
txpower ruuvitag,ruuvitag.readProperty('txpower');
check the value of ruuvitag txpower,ruuvitag.readProperty('txpower');
check the ruuvitag txpower,ruuvitag.readProperty('txpower');
check the ruuvitag power txpower,ruuvitag.readProperty('txpower');
txpower based on the value of ruuvitag,ruuvitag.readProperty('txpower');
show the txpower value based on the ruuvitag,ruuvitag.readProperty('txpower');
ruuvitag power tx,ruuvitag.readProperty('txpower');
see the power tx in the ruuvitag,ruuvitag.readProperty('txpower');
read the txpower measurement in the ruuvitag,ruuvitag.readProperty('txpower');
read the power measurement in ruuvitag,ruuvitag.readProperty('txpower');
txpower measurement can be read in ruuvitag,ruuvitag.readProperty('txpower');
you may view the txpower in ruuvitag,ruuvitag.readProperty('txpower');
you can see txpower in ruuvitag,ruuvitag.readProperty('txpower');
you can read the power measurement in ruuvitag,ruuvitag.readProperty('txpower');
tell me about the power of ruuvitag txpower,ruuvitag.readProperty('txpower');
tell me the power of the ruuvitag txpower,ruuvitag.readProperty('txpower');
give me the power measurement of ruuvitag,ruuvitag.readProperty('txpower');
please give me the power measurement of ruuvitag,ruuvitag.readProperty('txpower');
i'd like to know how powerful the ruuvitag is,ruuvitag.readProperty('txpower');
show me the movements of the counter value on ruuvitag right now?,ruuvitag.readProperty('movement_counter');
list the movements of the counter value in ruuvitag right now?,ruuvitag.readProperty('movement_counter');
can you list the movement of the counter in ruuvitag right now?,ruuvitag.readProperty('movement_counter');
can you list the movements of counter value in ruuvitag right now?,ruuvitag.readProperty('movement_counter');
how do you calculate the movement counter value?,ruuvitag.readProperty('movement_counter');
how does ruuvitag calculate the movement counter?,ruuvitag.readProperty('movement_counter');
show the movements counter values of the ruuvitag?,ruuvitag.readProperty('movement_counter');
show me the counter value of the ruuvitag?,ruuvitag.readProperty('movement_counter');
tell me the movement counter value of the ruuvitag?,ruuvitag.readProperty('movement_counter');
what is the movement counter value of the ruuvitag showing?,ruuvitag.readProperty('movement_counter');
check the movement counter in the ruuvitag,ruuvitag.readProperty('movement_counter');
#NAME?,ruuvitag.readProperty('movement_counter');
the movement counter is in ruuvitag,ruuvitag.readProperty('movement_counter');
check movements in the counter,ruuvitag.readProperty('movement_counter');
check the movement counter value of the ruuvitag,ruuvitag.readProperty('movement_counter');
check the value of the ruuvitag movement counter,ruuvitag.readProperty('movement_counter');
you may view the movements in ruuvitag,ruuvitag.readProperty('movement_counter');
you can see a movement counter in ruuvitag,ruuvitag.readProperty('movement_counter');
see motion measurement in ruuvitag,ruuvitag.readProperty('movement_counter');
see movement counter measure in ruuvitag,ruuvitag.readProperty('movement_counter');
see the movement counter measurement in ruuvitag,ruuvitag.readProperty('movement_counter');
give a reading of the movement counter from ruuvitag,ruuvitag.readProperty('movement_counter');
show me the sequence number measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
can you list the current sequence number measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
can you tell me the current sequence number measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
list the current measurement sequence numbers measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
show me the current measurement sequence numbers measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
can you list the current measurement sequence numbers measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
can you show the current measurement sequence number measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
tell me the measurement sequence number?,ruuvitag.readProperty('measurement_sequence_number');
show me the current sequence number measured by ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
show sequence number values in ruuvitag right now?,ruuvitag.readProperty('measurement_sequence_number');
can you show the sequence number values in ruuvitag right now?,ruuvitag.readProperty('measurement_sequence_number');
can you list the number of measurements in the sequences shown in the ruuvitag?,ruuvitag.readProperty('measurement_sequence_number');
show me the number of measurements in the sequences that the ruuvitag shows?,ruuvitag.readProperty('measurement_sequence_number');
tell me the number of measurement sequences that the ruuvitag shows?,ruuvitag.readProperty('measurement_sequence_number');
can you tell me the number of measurements in sequences that the ruuvitag shows?,ruuvitag.readProperty('measurement_sequence_number');
check ruuvitag's measurement sequence number,ruuvitag.readProperty('measurement_sequence_number');
check the number of the measurement sequence in ruuvitag,ruuvitag.readProperty('measurement_sequence_number');
check the sequence number in ruuvitag,ruuvitag.readProperty('measurement_sequence_number');
check the measurement of the sequence number in ruuvitag,ruuvitag.readProperty('measurement_sequence_number');
check the sequence number for the measurement of the ruuvitag,ruuvitag.readProperty('measurement_sequence_number');
verify the sequence number of the measurement ruuvitag,ruuvitag.readProperty('measurement_sequence_number');
number of the measurement sequence,ruuvitag.readProperty('measurement_sequence_number');
ruuvitag sequence number,ruuvitag.readProperty('measurement_sequence_number');
the ruuvitag measurement sequence number,ruuvitag.readProperty('measurement_sequence_number');
verify number of measurement sequences,ruuvitag.readProperty('measurement_sequence_number');
ruuvitag - measurement sequence number,ruuvitag.readProperty('measurement_sequence_number');
