phrase,code
what is the current temperature of thermometer in room 4.443 ?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature value in thermometer in room 4.443 right now ?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm is it based on thermometer in room 4.443 ?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold is it according to thermometer in room 4.443 ?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is temperature value the thermometer in room 4.443 showing ?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature measurement in thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check thermometer in room 4.443 temperature value .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature value according to thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measurement based on thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
read the temperature measurement in thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature measurement of thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
I want to know the temperature of thermometer in room 4.443 .,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the current temperature of thermometer in IoT lab ?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the temperature value in thermometer in IoT lab right now ?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how warm is it based on thermometer in IoT lab ?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how cold is it according to thermometer in IoT lab ?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is temperature value the thermometer in IoT lab showing ?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the temperature measurement in thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check thermometer in IoT lab temperature value .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature value according to thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show the temperature measurement based on thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
read the temperature measurement in thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
tell me the temperature measurement of thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
I want to know the temperature of thermometer in IoT lab .,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the current temperature of thermometer in the kitchen ?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the temperature value in thermometer in the kitchen right now ?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how warm is it based on thermometer in the kitchen ?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how cold is it according to thermometer in the kitchen ?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is temperature value the thermometer in the kitchen showing ?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the temperature measurement in thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check thermometer in the kitchen temperature value .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature value according to thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show the temperature measurement based on thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
read the temperature measurement in thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me the temperature measurement of thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
I want to know the temperature of thermometer in the kitchen .,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the current temperature of thermometer owned by Daniel ?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the temperature value in thermometer owned by Daniel right now ?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how warm is it based on thermometer owned by Daniel ?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how cold is it according to thermometer owned by Daniel ?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is temperature value the thermometer owned by Daniel showing ?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the temperature measurement in thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check thermometer owned by Daniel temperature value .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature value according to thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show the temperature measurement based on thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read the temperature measurement in thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature measurement of thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
I want to know the temperature of thermometer owned by Daniel .,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the current temperature of thermometer from Zhou ?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the temperature value in thermometer from Zhou right now ?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
how warm is it based on thermometer from Zhou ?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
how cold is it according to thermometer from Zhou ?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is temperature value the thermometer from Zhou showing ?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check the temperature measurement in thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check thermometer from Zhou temperature value .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature value according to thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurement based on thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read the temperature measurement in thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature measurement of thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
I want to know the temperature of thermometer from Zhou .,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the current temperature of Michael's thermometer  ?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the temperature value in Michael's thermometer  right now ?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how warm is it based on Michael's thermometer  ?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how cold is it according to Michael's thermometer  ?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is temperature value the Michael's thermometer  showing ?,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature measurement in Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
check Michael's thermometer  temperature value .,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the temperature value according to Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
show the temperature measurement based on Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
read the temperature measurement in Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature measurement of Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
I want to know the temperature of Michael's thermometer  .,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the current temperature of a thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the current temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the value of temperature in a thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature of a thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature in the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm it is on a thermometer in a room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm is it based on the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold it is in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold is it according to the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature value of the thermometer in room 4443 showing?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's the temperature value of the thermometer in room 4443 showing?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
the temperature measurement is done by the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature in the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check temperature in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the thermometer in room 4443 temperature value,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature according to the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature according to thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measured using a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measurement based on thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
read the temperature measurement in the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature of the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me about the temperature measurement of the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
i would like to know the temperature of the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
i want to know the temperature of the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
i want to know the temperature of thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature of the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the value of temperature in a thermometer in iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
tell me the temperature in the thermometer in iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the temperature value in the thermometer in iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how hot is it based on the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how cold it is in iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how cold is it according to the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
tell me the temperature value of the thermometer in iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature value is the thermometer in the iot lab showing?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the temperature measurement in the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the thermometer in the iot lab temperature value,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature according to the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature value according to the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show the temperature measurements based on the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
read the temperature measurement in the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
i want to know the temperature of the thermometer in iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
tell me the temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the current temperature of a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the current temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the value of temperature in a thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me the temperature of a thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the temperature in the thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how warm does the thermometer in the kitchen make it?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is it based on a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how warm is it based on the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's cold in the kitchen according to a thermometer?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how cold is it according to the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's the temperature value of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the temperature value the thermometer in the kitchen shows?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check temperature in the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the temperature in the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
the temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the thermometer in the kitchen temperature,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature according to the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature according to a thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show the temperature measured on the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show the temperature measurement based on thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
read temperature in the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
read the temperature in the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me the temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me about the temperature measurement of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
i want to know the temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
i want to know the temperature of thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the current temperature of a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the current temperature of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the value of thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature in the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the temperature value in the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how hot is it on a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how warm is it based on the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what temperature does daniel's thermometer say?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how cold is that according to daniel's thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how cold is it according to the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature of a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what temperature value the thermometer owned by daniel shows?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the temperature value the thermometer owned by daniel shows?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
verify the temperature measurement in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check daniel's thermometer temperature value,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature according to daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature according to the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the temperature according to the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show the temperature measurements on the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show temperature measurement based on the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show the temperature measurement based on the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
take a look at the temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read temperature measurement in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read the temperature measurement in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature measurement of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the temperature measurement of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
i'd like to know the temperature of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
i want to know the temperature of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the current temperature of zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the current temperature of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the value of temperature in zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature in the zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the temperature value in the thermometer from zhou right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
how hot is it on the thermometer of zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's cold in zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
how cold is it according to zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature of zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's the temperature value of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the temperature value the thermometer from zhou shows?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check temperature in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check the temperature in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check the temperature measurement in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature according to zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature according to the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the temperature according to the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show temperature measurement based on zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurement on the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurement based on the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read temperature measurement in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read the temperature measurement in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature of the thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature measurement of the thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i'd like to know the temperature of the thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i want to know the temperature of the thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i want to know the temperature of a thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the current temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the current temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the current temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the temperature in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature value in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the temperature value in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how hot is that on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
is it warm based on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how warm is it based on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how cold is that according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how cold is it according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is a temperature value on a michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature value of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the temperature value of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature on the thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
see temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check michael's temperature meter,"thermometer(sensor, None, Michael).readProperty('temperature');"
check michael's thermometer temperature,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the temperature according to michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show me the temperature according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
please show me the temperature according to michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show the temperature measured using michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show temperature measurement based on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show the temperature measurement based on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
take a look at the temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
read the temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
read the temperature measurement in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you tell me the temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
give me the temperature measurement of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
i want to know the temperature of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you tell me the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature of a thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the current temperature of a thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's the current temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature in a thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature in a thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the value of the temperature in a thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature of the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you tell me the temperature of the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature of the thermometer in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's the temperature in the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot it is in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm is the thermometer in a room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm is it on a thermometer in a room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what temperature does the room 4443 have?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot is it based on the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's cold inside the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold it is in 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold is it in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's cold in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature value of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
the temperature measurement is made using a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
temperature measurement is done by thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature on the thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check temperature in the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check room temperature 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
please show me the temperature according to the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measured with a thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show temperature measured using a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measurement on thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
read the temperature in the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
tell me the temperature of the thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
